study_hours,previous_marks,practice_hours,sleep_hours,mobile_usage,final_score
8.7,68.7,2.2,7.1,4.9,80.57
9.3,74.9,1.6,4.3,1.7,79.71
0.9,50.4,3.5,6.1,4.1,39.41
4.3,66.4,0.5,4.5,7.9,22.37
1.4,62.9,7.8,6.4,4.1,64.21
10.4,39.9,4.7,8.0,7.0,66.89
7.5,41.9,4.5,6.8,5.1,64.39
4.0,89.4,5.2,6.3,2.4,83.32
0.8,50.6,4.0,4.7,8.0,26.29
3.7,47.7,0.3,5.5,0.8,46.7
3.9,67.8,4.9,4.6,5.2,59.12
8.8,85.0,5.7,8.8,2.1,100.0
7.7,39.0,3.3,4.8,0.7,68.89
10.6,72.5,6.1,7.6,5.0,100.0
5.7,42.7,1.8,6.1,5.0,44.64
1.4,37.4,1.8,5.4,7.1,17.94
8.6,38.4,1.3,7.8,7.4,43.89
9.1,89.2,3.0,6.7,7.3,71.96
6.7,42.7,6.8,6.4,4.1,87.54
9.3,37.9,6.6,7.6,6.3,85.91
5.9,63.5,3.1,6.9,5.8,50.36
6.3,89.9,4.7,5.8,4.2,67.33
5.1,52.1,5.8,7.4,6.0,64.82
0.3,62.4,1.9,8.0,9.5,24.51
1.3,37.6,1.3,4.2,1.9,24.96
0.4,64.2,7.8,6.8,9.1,54.48
7.6,72.5,4.9,4.3,0.5,87.67
3.8,72.1,7.9,5.1,3.1,80.02
6.1,56.6,2.7,7.4,2.9,67.59
10.9,55.5,5.6,9.2,6.3,87.87
3.0,41.9,1.8,9.3,1.3,48.93
4.9,58.8,2.1,4.4,8.8,36.43
9.1,41.5,4.1,6.5,8.3,59.37
2.7,84.8,2.6,7.5,6.5,58.52
0.9,97.8,1.3,4.9,4.6,43.8
3.5,98.1,2.1,8.6,9.3,51.28
1.9,91.2,0.3,8.5,8.3,32.87
11.2,74.1,5.6,9.4,5.0,100.0
9.7,80.6,3.9,4.1,7.0,72.1
7.6,53.5,0.8,5.3,5.7,48.04
10.5,76.0,1.4,9.0,5.9,71.32
9.6,64.6,0.8,8.0,3.3,76.31
2.2,66.3,4.9,9.4,4.6,62.96
10.7,84.3,0.8,4.3,0.8,92.42
6.5,53.3,6.0,7.6,3.6,91.02
9.7,55.7,0.2,7.4,7.0,56.91
10.8,95.1,2.0,4.2,9.5,66.73
3.8,38.7,7.1,7.1,9.6,44.91
1.3,66.6,5.7,7.7,5.6,60.13
2.7,94.3,0.6,5.1,6.1,39.76
5.1,74.7,6.6,5.6,1.9,87.74
9.8,70.5,3.9,7.8,7.0,86.62
10.3,51.2,6.8,6.8,0.7,100.0
0.1,57.3,4.8,9.1,2.8,49.63
6.1,90.4,5.5,6.1,6.7,74.46
5.0,71.3,7.9,5.6,3.1,90.46
2.7,68.5,1.9,9.9,0.5,65.35
1.4,41.5,5.0,9.5,8.3,34.75
4.1,36.0,3.7,4.2,3.1,50.38
11.3,97.6,0.3,8.6,0.6,90.25
3.9,59.5,0.1,4.7,0.7,40.04
6.2,74.2,1.0,4.2,2.5,56.09
8.4,40.2,5.2,5.6,1.8,76.7
4.4,79.4,4.5,5.6,7.7,60.44
11.7,95.6,4.4,8.9,3.2,100.0
11.5,72.4,0.3,8.3,8.0,74.27
3.0,43.2,3.8,9.9,1.7,59.58
6.0,72.8,7.4,8.3,4.9,87.77
3.6,84.8,3.2,6.5,6.9,58.43
3.4,61.4,5.0,8.2,6.5,56.54
0.4,92.2,6.2,10.0,6.0,74.34
7.3,77.2,6.3,8.3,9.2,79.42
6.0,93.5,4.2,8.6,2.3,76.26
0.6,75.5,6.9,9.6,4.9,73.71
3.3,43.5,3.1,4.7,8.8,31.49
10.9,55.1,7.1,8.2,0.8,100.0
2.9,48.1,1.9,9.1,0.6,44.78
1.7,94.1,2.2,9.7,2.3,59.92
5.9,84.4,0.4,5.3,6.3,43.9
11.8,79.0,6.4,7.0,2.6,100.0
2.9,54.6,3.3,8.1,1.9,66.42
8.1,47.0,1.8,5.5,4.6,54.99
9.1,84.2,1.9,7.6,6.1,72.09
2.9,65.8,7.2,5.5,2.5,76.89
8.7,49.7,6.7,6.0,3.0,91.54
4.4,75.1,4.4,6.6,6.1,44.11
7.6,37.6,4.9,7.2,9.5,50.73
7.6,56.2,3.8,6.7,6.7,55.31
6.4,65.5,3.1,7.0,7.8,56.63
1.1,44.6,7.3,5.8,3.7,55.57
10.0,99.0,1.0,5.0,2.7,81.63
3.8,48.6,3.3,4.3,4.5,33.42
2.2,43.5,2.8,5.2,8.1,22.58
0.5,48.2,4.0,7.5,4.6,45.65
7.1,85.0,3.7,8.7,8.5,75.6
8.1,62.7,4.2,5.0,9.9,59.24
0.2,71.8,1.1,4.7,0.7,32.05
6.1,36.4,4.1,8.5,0.5,79.44
2.7,37.2,1.9,5.8,1.5,44.04
7.7,64.0,1.5,9.7,3.8,68.11
2.1,88.1,0.5,8.3,1.3,44.31
8.3,92.5,6.1,6.0,8.7,86.74
4.6,40.6,3.4,5.7,0.2,57.45
11.2,70.0,5.0,7.1,3.2,100.0
1.7,94.4,5.8,4.5,1.8,72.78
4.1,60.2,5.4,4.7,9.3,53.66
1.4,88.9,3.8,5.1,6.7,45.19
11.1,43.7,3.1,8.6,9.1,65.02
10.5,95.8,3.0,7.1,9.7,83.52
3.1,83.8,5.1,4.1,5.0,57.14
7.9,96.2,4.0,8.0,2.3,98.44
9.8,79.0,6.8,6.5,1.9,100.0
6.7,58.6,7.0,7.1,2.2,84.9
6.4,96.0,1.4,5.3,7.1,55.51
2.9,52.9,1.1,7.3,0.4,52.47
1.1,56.6,5.0,9.9,0.5,74.28
10.8,80.6,2.4,4.4,6.1,81.28
10.8,84.7,0.1,5.7,6.4,64.07
7.6,95.4,7.1,5.5,6.7,85.25
4.1,48.3,1.8,5.5,3.7,40.61
4.2,86.9,7.4,6.3,8.1,66.61
8.7,83.0,5.7,8.9,5.3,93.16
10.8,39.1,6.1,9.5,1.1,100.0
10.6,60.2,1.6,5.2,8.0,61.51
9.4,53.4,1.9,7.3,9.5,40.86
7.7,54.8,4.2,7.8,0.6,81.11
1.0,98.9,1.4,7.1,3.9,44.49
1.9,76.8,2.4,6.6,4.9,50.92
10.8,81.6,2.6,5.2,1.5,85.09
7.3,98.5,1.3,6.9,8.7,59.01
0.1,59.5,1.6,6.4,2.8,32.98
1.2,87.1,6.3,8.8,7.8,66.2
8.0,63.2,1.3,8.6,6.7,60.7
0.1,91.5,0.2,4.8,6.0,25.63
1.9,46.7,5.0,4.5,1.9,49.47
6.6,96.6,7.8,9.4,2.2,100.0
8.3,49.2,2.6,7.2,0.5,77.56
7.8,56.2,0.9,9.1,2.4,69.02
2.7,84.2,4.6,4.3,3.5,53.5
8.5,60.6,7.3,7.2,8.3,75.04
2.8,74.5,6.3,7.2,3.7,73.34
3.9,63.9,5.0,9.2,7.5,60.56
9.0,83.3,2.5,4.6,4.4,68.7
7.8,49.8,4.3,5.4,7.8,54.66
10.2,38.8,0.7,6.4,9.8,32.1
7.9,54.5,5.4,9.2,2.4,95.76
6.8,65.8,5.8,9.6,8.6,66.13
1.1,45.9,7.7,10.0,6.2,63.08
4.4,58.1,2.1,9.8,8.2,43.26
3.2,61.0,0.1,4.0,6.5,29.6
2.9,38.7,4.4,4.3,4.2,39.18
11.7,72.9,5.7,4.9,2.3,100.0
4.7,92.5,6.3,6.1,0.7,84.28
10.7,44.9,1.5,9.0,5.4,58.12
7.6,73.9,2.1,9.4,9.9,58.85
9.5,78.2,4.1,5.1,7.4,64.94
6.0,62.3,2.6,7.7,3.3,63.16
6.9,80.6,6.9,9.5,8.3,89.47
5.9,61.7,3.8,6.8,7.7,58.43
2.3,67.8,6.4,4.6,2.8,62.41
8.7,35.5,4.6,6.7,0.1,75.38
3.4,80.0,6.2,6.3,1.2,84.15
0.3,78.0,2.7,7.5,8.8,37.31
7.7,37.5,6.7,6.6,8.4,62.11
2.1,58.9,2.2,4.1,3.0,35.2
11.3,98.6,4.4,10.0,2.9,100.0
11.4,62.3,1.7,7.3,7.9,69.66
11.0,67.6,3.8,6.8,9.4,78.2
4.4,94.1,2.5,9.7,7.8,52.84
0.2,81.6,2.1,4.9,6.1,23.87
11.1,72.8,7.7,5.1,2.4,100.0
5.1,86.9,1.3,8.8,5.3,58.13
11.6,91.2,6.3,5.6,2.3,100.0
11.6,64.7,7.9,8.8,8.1,98.39
10.2,65.9,0.2,5.6,3.9,66.81
3.5,60.1,5.6,4.2,8.3,51.34
4.6,97.8,2.0,7.1,3.8,66.93
10.2,80.3,0.3,5.2,8.2,64.91
3.8,40.4,3.2,8.5,3.3,50.81
2.0,91.1,7.5,7.8,4.4,78.47
6.7,66.2,0.1,9.5,6.2,52.03
11.2,39.5,4.7,8.7,0.7,99.75
8.4,70.7,4.0,5.1,9.5,61.18
6.8,62.1,7.0,8.8,5.7,78.01
1.2,92.1,0.7,7.9,5.1,42.6
7.4,48.3,5.5,8.0,8.4,62.93
11.9,88.7,5.4,9.0,8.7,94.64
1.7,71.2,5.4,7.4,5.2,58.08
6.2,38.5,7.5,6.8,9.3,56.67
10.5,98.2,6.6,7.8,0.6,100.0
8.9,68.3,0.3,5.8,1.1,56.23
8.4,53.9,3.8,5.1,6.0,72.4
8.4,65.5,3.2,7.7,3.5,80.2
4.3,90.8,2.5,5.4,4.6,57.9
3.5,54.8,3.6,4.5,3.3,46.94
9.7,47.5,3.1,4.0,4.0,52.54
9.7,43.4,3.5,7.6,8.2,58.45
10.4,54.4,7.8,6.2,5.9,97.92
11.0,85.7,0.7,8.5,10.0,69.21
6.1,65.7,7.4,6.3,7.9,76.51
6.0,49.8,3.8,6.9,2.7,66.92
9.6,45.8,5.0,6.4,2.6,90.95
7.8,56.6,6.6,7.9,3.4,87.97
8.4,96.1,2.9,6.1,8.4,74.16
9.5,57.3,3.4,9.8,0.3,91.83
10.7,99.2,3.3,9.6,2.3,100.0
4.1,66.5,3.0,9.1,9.0,40.85
4.5,46.6,7.4,9.5,6.4,65.79
1.1,92.9,6.6,6.7,2.3,79.71
6.9,64.9,0.9,7.2,2.2,58.9
0.4,81.1,0.9,8.5,8.6,20.52
5.6,98.9,3.4,8.2,8.9,67.28
6.5,38.3,0.8,9.3,2.6,55.84
3.4,41.3,5.0,8.3,4.2,61.87
7.1,81.8,1.1,10.0,8.3,60.19
0.4,53.3,4.2,6.1,7.7,26.59
0.4,47.0,0.1,9.0,8.1,12.63
9.9,37.6,2.5,8.2,5.2,66.69
4.3,36.4,5.4,8.1,9.1,41.24
1.5,85.3,3.9,6.0,3.3,51.93
6.3,43.7,7.8,8.7,1.6,88.69
9.2,65.4,7.0,9.4,7.1,100.0
2.6,74.4,2.9,5.3,5.4,43.28
7.5,62.8,0.4,7.8,8.5,50.24
1.0,36.8,6.8,6.4,0.8,58.94
0.6,85.9,7.3,9.9,8.4,68.01
6.4,35.7,6.6,6.9,2.9,80.71
6.5,84.5,1.0,5.4,6.5,56.64
7.6,93.1,8.0,6.3,0.4,100.0
8.7,63.1,2.1,7.9,6.1,71.77
11.7,69.8,5.8,4.5,7.2,89.52
6.2,66.0,7.3,7.6,3.7,97.07
3.9,60.3,1.9,9.6,2.2,50.71
9.5,92.7,7.3,9.1,5.4,100.0
3.2,93.1,2.5,4.4,8.3,43.2
5.3,56.8,7.8,10.0,3.2,85.8
0.9,75.0,2.3,8.2,2.5,53.15
0.3,95.2,7.6,5.0,2.8,66.67
11.6,97.5,0.4,4.1,9.5,58.95
10.0,68.1,5.7,5.0,3.6,81.54
8.4,64.4,4.3,9.0,0.0,100.0
4.9,53.1,3.8,4.1,7.8,40.83
2.1,97.3,1.8,5.4,7.0,52.09
1.9,44.3,5.6,8.5,1.3,68.22
3.0,72.7,1.5,7.5,9.8,32.79
6.6,53.4,4.4,8.7,6.1,63.26
8.6,53.1,2.0,8.5,5.0,59.75
7.9,61.3,7.6,4.3,3.8,90.87
3.4,99.9,0.2,9.4,9.0,41.01
11.5,38.6,1.6,5.4,2.4,64.41
8.9,72.6,1.9,7.3,2.9,68.83
6.7,40.4,3.3,7.9,1.2,64.85
7.3,45.0,1.9,5.0,7.6,50.75
5.0,63.6,3.9,9.9,6.0,74.63
3.0,68.2,7.0,6.9,6.1,67.39
4.3,51.8,5.7,4.3,2.2,66.57
9.1,55.6,4.6,9.6,6.5,76.88
0.2,40.7,0.7,7.5,7.7,5.77
1.4,54.7,5.6,8.2,3.6,65.22
0.6,97.8,1.3,7.2,8.0,42.9
0.5,96.4,6.3,9.0,3.5,70.27
10.3,56.8,2.0,4.2,7.6,56.27
8.4,72.1,3.3,5.6,0.3,83.39
5.7,94.1,2.8,6.8,5.5,64.73
1.2,35.4,6.9,4.5,9.7,37.52
5.9,87.7,1.0,8.2,9.8,39.74
5.7,96.6,4.5,6.4,2.8,85.84
2.1,40.9,1.1,5.6,4.4,29.86
5.2,45.5,5.6,4.0,0.6,70.21
4.8,97.4,7.2,8.3,8.7,84.26
7.4,69.9,3.5,9.0,5.7,73.2
7.6,35.9,3.9,6.4,3.9,69.65
0.5,51.7,7.4,7.4,1.1,60.98
4.5,64.2,4.2,5.4,9.5,42.03
7.5,80.0,3.9,7.7,5.3,76.64
6.0,82.7,4.6,4.1,2.8,62.38
10.3,99.7,5.5,6.9,3.5,100.0
7.9,53.7,0.9,7.9,2.7,58.53
2.0,70.0,6.6,9.5,6.0,71.24
0.8,69.7,3.5,6.3,9.3,26.26
7.7,61.4,0.6,8.6,8.6,42.6
0.3,46.0,6.3,7.6,4.6,54.29
7.0,98.5,3.0,9.6,8.3,63.69
11.3,90.5,0.8,6.4,4.2,70.72
6.9,67.4,5.1,5.9,2.5,79.18
4.7,74.2,7.0,9.3,9.8,61.73
7.7,49.8,7.1,4.3,3.0,76.28
5.5,70.3,7.7,4.8,3.2,87.97
6.5,80.2,6.9,4.5,9.9,72.25
11.3,68.5,0.0,9.1,1.3,87.42
4.6,99.4,3.0,4.1,7.6,59.13
11.5,74.7,6.5,9.2,9.4,100.0
10.9,59.1,2.9,6.7,5.1,66.24
2.3,85.2,4.8,4.0,0.0,73.27
0.8,46.1,4.9,6.4,3.8,42.59
1.2,60.0,2.9,5.1,1.1,43.46
0.2,57.6,7.2,7.7,4.2,62.56
1.1,63.1,4.0,8.1,7.9,30.33
8.2,85.8,3.7,6.9,4.4,73.17
0.9,66.5,8.0,4.2,4.3,65.54
3.8,86.6,3.9,7.9,5.6,66.45
10.1,72.5,1.4,9.1,5.8,74.26
0.3,57.2,4.1,8.3,8.6,28.12
9.8,87.6,6.5,9.0,3.1,100.0
3.4,50.5,6.2,5.2,8.2,51.48
1.4,49.6,6.3,9.3,5.7,56.39
8.4,67.8,5.7,5.9,3.0,82.74
7.5,52.0,2.0,4.1,3.0,55.27
10.5,35.6,6.9,9.1,3.6,100.0
8.8,77.1,7.1,9.7,6.2,100.0
9.6,68.2,1.6,7.9,2.3,77.54
3.4,64.0,1.0,5.4,9.2,22.95
2.1,97.9,7.8,5.5,5.7,74.76
9.0,72.1,6.9,6.8,9.2,83.11
9.7,91.1,7.1,9.4,0.5,100.0
11.9,44.1,7.1,4.9,3.4,83.66
5.0,72.0,4.3,9.0,0.2,90.06
4.5,91.4,5.2,5.7,2.7,88.26
9.3,72.9,4.4,8.9,8.6,73.65
4.1,81.7,0.4,9.5,0.4,59.46
11.2,59.2,6.0,6.6,4.4,94.83
10.3,41.0,4.0,6.2,1.2,83.41
5.1,64.8,5.2,8.8,4.2,79.06
9.0,60.6,4.0,7.2,8.4,66.68
9.1,91.4,3.9,8.1,6.2,81.53
1.2,50.9,1.4,7.7,7.4,16.22
10.8,97.8,2.2,4.9,3.5,92.06
6.1,97.3,1.3,9.1,9.4,57.95
9.9,51.1,1.6,5.2,7.1,59.89
3.8,57.6,7.8,9.6,4.2,76.12
10.7,93.2,1.2,5.5,4.3,88.71
4.7,97.8,2.2,8.4,9.2,44.51
0.1,63.8,4.7,5.7,5.8,43.78
10.9,55.9,4.9,5.9,7.1,68.62
1.1,69.2,1.2,5.9,4.2,29.87
3.8,79.7,6.3,8.5,2.2,92.8
11.4,52.8,6.3,7.3,7.2,92.74
11.4,82.9,1.9,9.3,6.1,81.68
6.9,38.4,2.3,5.8,5.0,46.55
7.6,38.2,7.5,8.2,6.2,79.57
5.4,60.1,6.6,8.5,2.1,88.91
3.5,58.0,5.6,4.9,7.9,54.66
3.9,55.5,0.7,6.4,9.5,20.54
8.1,66.9,3.3,6.9,8.9,51.36
9.0,55.8,4.5,6.1,3.2,81.41
9.5,47.5,1.5,5.9,4.1,59.34
9.5,55.1,3.6,8.1,8.1,60.68
1.1,98.4,4.8,5.3,6.0,56.93
5.9,61.7,2.6,8.3,5.5,57.23
0.7,63.9,6.2,9.6,9.3,49.0
6.6,72.5,6.7,7.4,5.4,79.4
5.3,98.9,2.6,7.7,5.1,71.35
10.7,50.7,6.7,4.4,0.4,95.06
4.2,79.3,0.8,9.2,0.7,60.72
1.4,81.5,6.7,5.7,0.1,77.51
1.7,74.5,1.2,7.7,9.1,35.68
9.1,40.8,0.7,9.9,4.1,65.6
7.4,79.0,5.1,7.6,4.7,89.24
1.2,39.2,3.8,8.3,8.5,35.71
1.0,73.7,7.3,6.7,6.1,79.41
8.4,83.1,2.9,4.4,6.1,67.89
0.9,48.7,2.3,8.8,3.0,47.85
9.9,89.7,4.0,4.2,8.3,79.56
8.5,37.0,3.6,8.2,1.7,81.23
1.0,89.8,2.8,4.1,0.5,65.0
1.0,64.9,5.5,9.2,1.9,64.82
11.8,49.1,6.1,4.9,2.7,94.09
4.5,43.7,6.8,7.1,2.8,74.69
4.4,97.0,7.8,7.6,6.7,84.74
9.8,39.7,2.1,6.7,2.2,71.99
11.4,47.9,5.7,6.0,6.8,90.28
11.8,57.6,3.2,6.8,0.9,91.87
9.0,75.3,5.4,5.9,1.5,95.13
4.5,70.4,3.8,6.6,5.1,60.41
1.0,43.2,8.0,6.2,9.2,42.78
9.3,53.8,5.8,7.4,8.6,64.46
6.7,50.5,7.6,5.4,9.7,61.27
5.1,48.9,6.7,9.9,6.5,74.75
10.9,61.7,7.2,7.0,6.8,100.0
1.3,80.8,6.5,5.2,6.3,51.71
5.9,49.1,3.7,6.9,6.2,48.69
0.1,58.8,2.0,9.2,1.5,45.03
5.6,60.4,3.0,4.1,5.4,40.16
0.7,98.5,0.2,8.1,3.9,40.55
1.4,97.1,4.2,7.3,4.4,53.3
1.4,87.0,4.0,5.0,5.2,57.3
7.8,50.7,4.2,8.9,1.3,80.0
9.0,39.4,7.8,6.2,3.6,98.65
7.0,55.6,7.3,5.8,0.6,99.33
11.5,52.3,1.3,9.0,9.8,56.17
4.5,67.9,3.0,7.8,1.2,63.41
3.4,85.6,3.4,9.4,2.6,70.59
10.4,90.8,2.9,7.8,8.9,76.26
2.7,89.9,6.4,8.4,4.8,78.4
11.6,58.4,4.2,9.0,1.4,97.76
0.1,79.7,4.6,4.3,3.8,52.23
11.6,55.3,6.8,8.7,1.2,100.0
0.5,39.0,6.4,7.7,2.0,55.35
10.7,80.6,1.1,4.4,0.5,80.25
6.3,35.6,5.7,7.1,4.4,66.24
11.9,61.6,3.5,4.5,8.1,67.28
0.9,56.4,2.4,8.4,5.9,34.73
6.6,80.1,0.4,7.3,6.1,53.16
11.6,84.8,3.9,9.7,2.0,100.0
6.3,54.8,2.8,5.1,3.4,67.21
7.6,87.8,2.0,7.6,8.5,60.17
8.3,54.1,5.6,5.3,0.9,93.06
5.5,64.0,6.2,7.7,8.6,66.15
7.5,82.3,2.0,8.3,4.8,69.81
7.0,80.0,0.4,8.3,8.4,48.8
10.8,99.2,6.8,8.9,3.2,100.0
0.5,49.6,0.1,9.1,3.4,29.26
3.4,78.1,7.5,4.5,7.5,60.14
11.4,74.6,5.0,6.1,7.8,78.18
10.7,94.5,2.6,8.1,2.3,100.0
5.5,45.2,2.0,7.0,9.7,37.21
7.4,83.9,0.1,5.1,0.8,70.99
3.3,71.9,1.9,7.3,0.7,61.14
2.3,52.9,1.1,6.4,6.0,31.85
5.6,65.8,4.9,6.3,7.2,64.5
4.2,56.7,1.3,8.9,9.6,36.08
7.0,72.7,4.2,6.4,4.0,70.95
0.9,92.8,4.7,4.2,0.3,61.6
11.7,72.0,2.4,4.3,6.0,72.66
11.8,76.1,0.3,9.1,2.9,84.75
8.4,68.7,0.3,9.8,4.3,64.64
6.4,38.3,0.2,8.1,4.9,32.12
3.7,50.1,5.9,6.2,0.6,81.04
9.8,67.0,2.5,9.6,4.9,78.28
8.2,55.2,6.4,8.0,4.3,88.08
2.0,46.8,3.5,9.1,7.1,45.0
10.9,67.8,3.6,8.6,6.5,71.31
9.9,56.0,4.1,6.3,1.9,84.04
11.4,51.8,5.7,6.9,2.1,97.79
8.7,65.2,2.2,5.1,2.5,69.64
7.4,43.7,1.0,5.8,1.8,55.23
5.0,95.3,4.4,8.7,6.6,80.19
11.2,91.4,2.6,9.4,9.9,82.26
10.4,81.0,3.5,8.3,6.5,89.34
0.5,41.9,5.2,6.8,6.1,38.2
0.3,85.4,4.0,4.5,4.1,40.79
4.5,87.5,5.0,4.3,3.1,62.53
9.7,84.9,4.4,6.2,9.1,67.97
11.8,42.4,5.9,6.8,9.7,77.84
1.8,76.9,5.6,7.7,5.0,62.67
7.1,89.2,4.3,4.0,2.9,79.37
4.6,72.5,5.4,9.9,7.7,65.63
11.6,77.0,7.0,6.2,1.3,100.0
10.1,64.8,3.5,9.1,7.7,71.57
10.1,69.4,3.3,7.2,8.2,75.63
5.6,37.2,6.1,4.8,1.2,71.93
5.0,76.5,4.7,8.8,9.8,58.17
3.3,40.3,0.6,8.3,9.9,23.09
0.7,63.3,7.1,7.2,9.4,53.97
10.4,54.0,0.2,7.1,5.0,59.5
9.8,70.5,6.0,4.5,2.5,99.37
12.0,43.7,6.1,7.9,5.8,94.01
12.0,80.0,7.6,9.5,4.2,100.0
6.7,86.7,0.4,4.6,2.1,63.07
9.2,45.6,4.8,5.6,4.2,71.92
11.3,41.8,3.4,9.4,6.6,74.3
10.2,44.5,2.6,5.7,0.7,75.77
3.0,92.0,0.7,7.9,3.3,58.11
5.4,69.3,4.5,7.2,0.2,81.68
1.5,65.4,3.8,7.6,7.5,34.1
11.4,41.9,0.8,6.5,6.4,54.45
7.3,77.2,4.9,5.8,0.6,74.52
2.7,91.4,5.9,4.3,9.6,49.62
8.1,88.8,6.1,8.5,0.2,100.0
7.4,75.7,7.2,8.5,5.9,90.71
4.3,39.9,3.3,8.0,7.8,50.17
1.4,42.3,7.6,7.9,7.9,53.38
8.1,38.2,6.9,5.5,0.3,93.02
6.2,51.7,2.4,4.1,9.1,27.58
9.3,43.8,1.3,8.9,9.2,47.41
6.2,51.9,3.5,6.9,5.6,55.03
10.2,60.0,3.2,5.8,4.8,71.07
6.6,96.3,4.6,4.6,0.4,87.11
6.7,74.7,4.7,4.4,5.6,59.4
10.5,89.3,6.0,6.1,4.1,96.78
4.8,81.2,4.1,8.8,7.7,66.99
1.6,42.3,0.8,9.5,4.0,31.49
0.3,82.8,6.9,9.4,6.8,60.55
9.1,52.9,2.5,9.5,1.0,83.39
7.4,76.5,7.8,9.4,1.3,100.0
8.4,57.2,0.9,7.2,1.4,68.34
2.6,99.8,7.7,5.3,0.5,95.63
1.6,52.1,0.7,8.8,5.4,25.3
0.2,53.1,1.8,5.3,7.9,12.19
4.2,95.5,0.4,5.6,6.1,46.89
7.1,36.6,5.6,5.4,5.7,72.37
4.7,80.3,6.8,7.1,6.8,81.85
5.2,82.1,3.5,5.9,3.4,71.55
10.8,89.4,7.4,4.9,3.6,100.0
4.2,98.3,4.7,6.7,3.1,85.81
6.2,98.4,5.0,9.2,7.1,85.31
9.4,39.2,6.8,7.4,1.6,83.85
4.8,88.4,2.4,9.3,0.1,75.17
7.5,77.0,2.8,5.2,6.0,65.04
10.3,77.1,7.2,5.0,9.4,77.05
11.4,43.3,7.2,7.5,6.1,88.97
1.8,77.3,7.8,6.8,7.8,59.96
11.1,98.9,7.2,8.0,6.7,100.0
5.9,94.3,1.0,8.8,5.0,62.77
3.1,63.5,6.6,8.5,7.2,61.58
